Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
System/StatDesc/dod,Text,,회피율 {0}%,Esquive {0}%,回避率{0}%,闪避率 {0}%,閃避率 {0}%
System/StatDesc/invincible,Text,,피해 면역,Immunité aux dégâts,ダメージ無効,伤害免疫,傷害免疫
System/StatDesc/maxhp,Text,,최대 체력 {0},PV max. {0},最大体力{0},最大体力值 {0},最大體力值 {0}
System/StatDesc/reg,Text,,치유력 {0},Puissance des soins {0},治癒力{0},治疗力 {0},治療力 {0}
System/SwimDLC,Text,,서머 트와일라잇,Summer Twilight [DLC],サマートワイライト,夏日黄昏,夏日黃昏
System/Tutorial/ArkPart_0,Text,,책에서는 저장 & 종료가 가능합니다.,Vous pouvez sauvegarder et quitter en utilisant le livre.,本で、セーブとゲーム終了ができます。,可在书中保存并关闭。,可在書中儲存並關閉。
System/Tutorial/ArkPart_1,Text,,전시대에 유물을 올려놓으면 유물의 능력이 활성화 됩니다.,Activez le pouvoir d'une Relique en la plaçant sur son présentoir.,展示館で遺物を展示することで遺物の能力が活性化します。,把遗物放在展示台上即可激活遗物能力。,把遺物放在展示台上即可啟動遺物能力。
System/Tutorial/Battle1_0,Text,,좌측의 스킬 목록에서 원하는 스킬을 클릭해 사용할 수 있습니다.,Lancez une compétence en cliquant dessus dans la liste des compétences à gauche.,左にあるスキルリストからスキルをクリックしてスキルを使用できます。,在左侧的技能列表中点击想要释放的技能。,在左側的技能清單中點選想要釋放的技能。
System/Tutorial/Battle1_1,Text,,"스킬 사용 시 마나가 소모되며, <b>마나는 턴마다 최대 마나 만큼 회복됩니다.</b>
마나가 허용하는 선에서 한 턴에 스킬을 여러 번 사용할 수 있습니다.","Lancer une compétence consomme du Mana. <b>Votre Mana maximum est entièrement restauré à chaque tour.</b>
Vous pouvez lancer autant de compétences que vous le souhaitez, jusqu'à ce que vous n'ayez plus de Mana.","スキル使用時にマナを消費します。<b>マナは毎ターン最大値まで回復します。</b>
 マナがある限り、1ターンにいくつでもスキルを使用できます。","使用技能时消耗法力值，<b>法力值将在每回合恢复到最大值。</b>
  在法力值允许的范围内，可在一回合内多次使用技能。","使用技能時消耗法力值，<b>法力值將在每回合恢復到最大值。 </b>
  在法力值允許的範圍內，可在一回合內多次使用技能。"
System/Tutorial/Battle1_2,Text,,최대한 스킬을 활용한 뒤 '턴 종료 {0}'을 눌러 턴을 넘기세요.,"Après avoir lancé vos compétences, terminez votre tour en appuyant sur « Fin du tour {0} ».",スキルを使用した後、「ターン終了(Q)」を押してターンを終了してください。,"请尽可能充分使用技能后，点击“结束回合{0}""进入下一回合。",請盡可能充分使用技能後，點選「結束回合{0}」進入下一回合。
System/Tutorial/Battle1_3,Text,,"스킬은 키보드의 숫자키 0~9, F1~F4로도 선택이 가능합니다.",Vous pouvez également lancer des compétences à l'aide des touches 0 à 9 et F1 à F4.,スキルはキーボードの0~9、F1~F4を押して使用することもできます。,也可以使用键盘上的数字键 0~9、F1~F4 选择技能。,也可以使用鍵盤上的數字鍵 0~9、F1~F4 來選擇技能。
System/Tutorial/BattleHealingSystem_0,Text,,<b>회복게이지</b>에 대해 설명하겠습니다.,Voyons maintenant le fonctionnement de la <b>Jauge de soin</b>.,<b>回復ゲージ</b>について説明します。,关于<b>体力极限</b>的说明。,關於<b>體力極限</b>的說明。
System/Tutorial/BattleHealingSystem_1,Text,,"아군이 피격당할 때마다, 피해량만큼 <b>회복게이지</b>가 남습니다.","Lorsqu'un personnage est attaqué, la <b>Jauge de soin (barre verte)</b> affiche les dégâts subis.",味方がダメージを受けるとき、そのダメージと同じだけの緑色の<b>回復ゲージ</b>が残ります。,每当友军被击中时，将留下与伤害量相等的<b>体力极限</b>。,每當友軍被擊中時，將留下與傷害量相等的<b>體力極限</b>。
System/Tutorial/BattleHealingSystem_2,Text,,"<b>피격</b>당할 시 <b>이미 회복게이지가 남아있었다면</b>, 남아있던 회복게이지는 사라집니다.","Si vous <b>subissez des dégâts</b> alors qu'il vous reste de la <b>Jauge de soin</b>, cette dernière disparaît.",<b>ダメージを受ける時、</b>すでに<b>回復ゲージがあった場合、</b>残っていた回復ゲージは消滅します。,<b>被击中</b>时，<b>若已经存在剩余体力极限</b>，则剩余体力极限将消失。,<b>被擊中</b>時，<b>若已經存在剩餘體力極限</b>，則剩餘體力極限將消失。
System/Tutorial/BattleHealingSystem_3,Text,,"회복게이지는 <b>게이지만큼 온전하게 치유</b>할 수 있다는 뜻입니다.
회복게이지를 넘어선 치유량은 <b>감소</b>하기 때문에 빠르게 회복하세요.","La Jauge de soin indique la quantité de PV pouvant être <b>entièrement récupérée</b>. 
Veillez à soigner vos personnages tant qu'il reste de la Jauge de soin, car les soins effectués au-delà de la partie verte de la barre de vie seront <b>beaucoup moins efficaces</b>.","本作ではスキルによる回復にペナルティーがあり、<b>数値通りに回復しません</b>。
ですが、<b>回復ゲージ分は、スキルの数値通りに体力が回復します</b>。","体力极限意味着<b>在体力极限范围内可以得到完整的治疗</b>。
  超出体力极限的治疗量将受到<b>削减</b>，因此请务必尽快恢复。","體力極限意味著<b>在體力極限範圍內可以得到完整的治療</b>。
  超出體力極限的治療量將受到<b>削減</b>，因此請務必盡快恢復。"
System/Tutorial/BattleHealingSystem_4,Text,,"<b>회복게이지</b>는 전투 종료 시 자동으로 회복됩니다.
더 이상 피해를 받지않고 전투를 끝낼 수 있다면, 빠르게 전투를 끝내는 것도 방법입니다.","La <b>Jauge de soin</b> restante est automatiquement restaurée après chaque combat. 
Terminer rapidement un affrontement est donc aussi un bon moyen de préserver vos PV.","<b>回復ゲージ分の体力</b>は戦闘終了時、自動的に回復します。
  ダメージを受けず戦闘を終わらせることができるなら、回復せず早めに戦闘を終わらせることも一つの手です。","<b>体力极限</b>将在战斗结束时自动恢复。
  如果能够在不再受到伤害的情况下结束战斗，也可以选择快速结束战斗。","<b>體力極限</b>將在戰鬥結束時自動恢復。
  如果能夠在不再受到傷害的情況下結束戰鬥，也可以選擇快速結束戰鬥。"
System/Tutorial/BattleLayout1_0,Text,,<sprite name=XBOX_LT_KEY><space=5><sprite name=XBOX_RT_KEY> 버튼을 이용하여 탭을 빠르게 변경할 수 있습니다.,Vous pouvez changer rapidement d'onglet à l'aide des boutons <sprite name=XBOX_LT_KEY> et <sprite name=XBOX_RT_KEY>.,<sprite name=XBOX_LT_KEY><space=5><sprite name=XBOX_RT_KEY>ボタンでタブをすばやく切り替えることができます。,可使用<sprite name=XBOX_LT_KEY><space=5><sprite name=XBOX_RT_KEY>按钮快速切换标签页。,可使用<sprite name=XBOX_LT_KEY><space=5><sprite name=XBOX_RT_KEY>按鈕快速切換標籤頁。
System/Tutorial/BattleLayout2_0,Text,,<sprite name=XBOX_LT_KEY><space=5><sprite name=XBOX_RT_KEY>로 탭 변경은 전투 이외의 상황에서도 사용할 수 있습니다.,Le changement d'onglet avec <sprite name=XBOX_LT_KEY> et <sprite name=XBOX_RT_KEY> est également disponible en dehors des combats.,<sprite name=XBOX_LT_KEY><space=5><sprite name=XBOX_RT_KEY>でのタブ切り替えは戦闘以外の場面でも使用できます。,<sprite name=XBOX_LT_KEY><space=5><sprite name=XBOX_RT_KEY>切换标签页功能在战斗以外的场景中也可以使用。,<sprite name=XBOX_LT_KEY><space=5><sprite name=XBOX_RT_KEY>切換標籤頁功能在戰鬥以外的場景中也可以使用。
System/Tutorial/Boss,Text,,"이 앞을 통해 다음 지역으로 넘어갈 수 있지만, 보스가 지키고 있습니다.",Un boss protège le passage vers l'étape suivante.,ここから次のエリアに進むことができますが、このエリアを守護するボスがいます。,可以通过此地前往下一区域，但有BOSS镇守。,可以通過此地前往下一區域，但有BOSS鎮守。
System/Tutorial/Boss2,Text,,보스와 전투하기 전에 준비가 되었는지 확인하세요.,Veillez à bien vous préparer avant d'affronter un boss.,ボスと戦闘する前に準備を整えてください。,请确认是否准备好与BOSS作战。,請確認是否準備好與BOSS作戰。
System/Tutorial/Bossgimmick_0,Text,,"<b>주의</b>
각 보스들에게는 특정한 패턴이 있습니다.
보스의 고유 버프 및 고유 스킬들을 잘 확인해보세요.","<b>Attention</b> : 
Chaque boss possède des mécaniques et des schémas d'attaque qui lui sont propres. 
Pensez à consulter ses bonus et ses compétences.","<b>注意</b>
ボス達には特徴的な能力があります。
ボスの状態やスキルを確認しながらプレイすることをお勧めします。","<b>注意</b>
  每个BOSS都有特定的行动模式。
  请仔细确认BOSS的特有增益及技能。","<b>注意</b>
  每個BOSS都有特定的行動模式。
  請仔細確認BOSS的特有增益及技能。"
System/Tutorial/Bossgimmick_1,Text,,"만약 이런 보스들의 요소를 무시하고 플레이 한다면
보스를 클리어 하기 굉장히 어려울것입니다.",Il sera très difficile de vaincre ces boss si vous ignorez leurs mécaniques principales.,ボスの特性を無視してプレイすると、ゲームのクリアが非常に難しくなります。,"若无视BOSS这些要素，
  要击败BOSS将会极其困难。","若無視BOSS這些要素，
  要擊敗BOSS將會極為困難。"
System/Tutorial/Camp_0,Text,,스테이지 사이에는 캠프파이어가 있습니다.,Des feux de camp se trouvent entre les différentes étapes.,ステージの間にはキャンプファイヤーがあります。,各区域之间有营火。,各區域之間有營火。
System/Tutorial/Camp_1,Text,,캠프파이어에서는 기본적으로 체력을 회복시켜주며 전투불능 아군일 경우 전투불능 상태를 회복시켜줍니다.,Les feux de camp restaurent les PV et raniment les alliés vaincus.,キャンプファイヤーでは自動的に体力が回復し、戦闘不能になった味方も復活します。,队员可在营火旁恢复体力值，同时解除无法战斗状态。,隊員可在營火旁恢復體力值，同時解除無法戰鬥狀態。
System/Tutorial/Camp_2,Text,,"또, 캠핑중에는 아이템을 다른 방식으로 소모 할 수도 있습니다.
식량의 경우, 그냥 사용하는것과 다르게 모든 아군을 회복시켜주기도 하죠.","Les objets ont des effets différents lorsqu'ils sont utilisés au feu de camp. 
Par exemple, le Pain soigne tous les alliés au lieu d'un seul.","キャンプ中は普段と違う方法でアイテムを使用することができます。
 例えば、キャンプ中にパンを使用すると味方全員を回復します。","此外，营地内可以换一种方式使用道具。
  例如使用面包时，可以同时恢复所有友军的体力值。","此外，營地內可以換一種方式使用道具。
  例如使用麵包時，可以同時恢復所有友軍的體力值。"
System/Tutorial/Camp_3,Text,,"이외에도 캠핑중에 사용 할 수 있는 다른 아이템들이 있으니, 직접 찾아보세요.",De nombreux objets peuvent être utilisés au feu de camp. Essayez d'en trouver avant votre prochain arrêt.,他にもキャンプで使用できるアイテムがありますので、確認してください。,此外还有其它可在营地内使用的道具，去找找看吧。,另外還有其它可在營地內使用的道具，去找找看吧。
System/Tutorial/Casual_0,Text,,이제부터 캐주얼 난이도를 선택할 수 있습니다.,Difficulté Décontractée disponible !,ここからは難易度カジュアルを選択できます。,现在开始可以选择休闲难度。,現在開始可以選擇休閒難度。
System/Tutorial/Casual_1,Text,,"크로노아크는 로그류 게임으로써 도전적인 난이도가 중요한 요소라고 생각합니다, 하지만 너무 어렵고 플레이하기 힘들다면, 캐주얼 난이도로 플레이해보세요.","Nous vous recommandons de jouer à Chrono Ark dans une difficulté plus élevée, car le jeu est conçu autour de mécaniques de roguelike. Si le défi est trop important, essayez le mode Décontracté.",クロノアークはローグライクゲームで、適度な難度は重要ですが、自分に合う難易度でプレイすることがより重要です。,超时空方舟作为一款Roguelike游戏，挑战难度是非常重要的因素。如果感觉游戏难度过高，可以试试休闲难度。,超時空方舟作為一款Roguelike遊戲，挑戰難度是非常重要的因素。如果覺得遊戲難度過高，可以試試休閒難度。
System/Tutorial/Casual_2,Text,,캐주얼 난이도여도 스토리를 진행 할 수 있습니다.,Vous pourrez tout de même profiter de toute l'histoire en mode Décontracté.,難易度差によるストーリー展開の差はありません。,休闲难度下也同样可以体验剧情。,休閒難度下也同樣可以體驗劇情。
System/Tutorial/EnemyBuff_0,Text,,"어떤 적들은 특성을 가지고 있습니다.
버프 아이콘에 마우스를 올리면 어떤 특성인지 확인할 수 있습니다.","Certains ennemis possèdent des caractéristiques particulières. 
Vous pouvez les consulter en plaçant le curseur sur l'icône de leur bonus.","一部の敵は特性を持っています。
 強化アイコンをマウスで確認すると特性を確認できます。","某些敌人具有特殊属性。
  把鼠标放在增益图标上即可确认。","某些敵人具有特殊屬性。
  把滑鼠放在增益圖示上即可確認。"
System/Tutorial/InteractTutorial_0,Text,,오브젝트 조작 : {0},Interagir : {0},オブジェクト操作：{0},物品操作：{0},物品操作：{0}
System/Tutorial/ItemUse_0,Text,,"식량은 가장 기본적인 회복수단입니다.
필드에서만 사용할 수 있으며, 우클릭하여 사용이 가능합니다.","Vous pouvez utiliser le Pain en faisant un clic droit dessus pour vous soigner, mais il ne peut être utilisé que sur le terrain.","パンは基本的な回復手段です。
 フィールドでのみ使用できます。使用する時にはマウスで右クリックしてください。","面包是最基础的恢复手段。
面包只能在战斗外使用，右击即可使用。","麵包是最基礎的恢復手段。
麵包只能在戰鬥外使用，右鍵即可使用。"
System/Tutorial/LightSystem_0,Text,,루시의 목걸이에는 빛으로 목적지를 알려주는 능력이 있습니다.,Le collier de Lucy vous guide grâce à sa lumière.,ルシーのネックレスには光で目的地まで案内してくれる機能があります。,露西的项链拥有指示目的地的能力。,露西的項鍊擁有指示目的地的能力。
System/Tutorial/LightSystem_1,Text,,"우측 상단의 목걸이 아이콘을 클릭하거나, Q를 누르면 목적지를 알려주는 빛이 나타납니다. 빛은 이동 시 사라집니다.",Cliquez sur l'icône du collier sous la carte ou appuyez sur Q. La lumière disparaît lorsque vous vous déplacez.,右上のネックレスアイコンをクリックするか、キーボードのQを押すことで目的地を示す光が表示されます。,点击右上角的项链图标或按下Q键时，项链发出光芒指向目的地，移动时光芒消失。,點選右上角的項鍊圖示或按下Q鍵時，項鍊發出光芒指向目的地，移動時光芒消失。
System/Tutorial/MapEvent_0,Text,,{0}을 누르면 맵을 열 수 있습니다. 느낌표 아이콘은 조사가 필요한 지역임을 의미합니다.,Appuyez sur {0} pour ouvrir la carte. Recherchez les points d'exclamation indiquant des lieux d'intérêt.,{0}を押すとマップを確認できます。！があるところは調査が必要な場所です。,按下{0}键可打开地图。显示感叹号图标的是需要调查的地区。,按下{0}鍵可開啟地圖。顯示驚嘆號圖示的是需要調查的地區。
System/Tutorial/MapEvent_1,Text,,미니맵의 반짝이는 곳을 선택하면 그곳으로 빠르게 이동할 수도 있습니다.,Déplacez-vous rapidement vers une zone clignotante en la sélectionnant.,ミニマップの光るところを選択し、ショートカットすることもできます。,选择小地图中闪烁的地方，即可快速前往该地区。,選擇小地圖中閃爍的地方，即可快速前往該地區。
System/Tutorial/MoveTutorial_0,Text,,"이동 : {0}{1}{2}{3}
달리기 : {4}",Déplacement : {0}{1}{2}{3} Courir : {4},"移動：{0}{1}{2}{3}
  走る：{4}","移动：{0}{1}{2}{3}
  奔跑：{4}","移動：{0}{1}{2}{3}
  跑：{4}"
System/Tutorial/NearDeath_0,Text,,"캐릭터가 빈사상태에 빠졌을 때 한 번 더 피해를 입으면 전투 불능에 빠집니다!
치유하여 빈사상태를 회복하세요!","Les personnages s'évanouissent s'ils subissent des dégâts alors qu'ils sont aux Portes de la mort ! 
Soignez-les pour sortir de cet état !","キャラクターが瀕死状態の時、もう一度ダメージを受けると戦闘不能になります。
回復して瀕死状態を解除してください！","当角色陷入濒死状态时，再次受到伤害便会进入无法战斗状态。
  请及时治疗脱离濒死状态！","當角色陷入瀕死狀態時，再次受到傷害便會進入無法戰鬥狀態。
  請及時治療脫離瀕死狀態！"
System/Tutorial/Overload_0,Text,,스킬 비용이 어떤 상황일 때 올라가는지 눈치 채셨나요?,Avez-vous compris pourquoi certaines compétences coûtent plus de Mana dans certaines situations ?,スキルのコストは上がることがあります。,你看出技能费用会在什么情况下上涨吗？,你看出技能費用會在什麼情況下上漲嗎？
System/Tutorial/Overload_1,Text,,"스킬을 시전한 캐릭터는 과부하가 걸립니다.
과부하가 걸린 캐릭터는, 이번 턴 동안 마나 소모량이 1 증가합니다.","Les personnages gagnent de la Surcharge après avoir lancé une compétence. 
La Surcharge augmente de 1 le coût en Mana de leurs compétences pour ce tour.","スキルを使ったキャラクターはオーバーチャージ状態になります。
 オーバーチャージ状態では、スキルのマナ消費量が1上がります。","释放过技能的角色将会过载。
过载的角色在本次回合中法力值消耗增加 1点。","釋放技能的角色會疊加過載。
每層過載使該角色在本回合中法力值消耗增加 1點。"
System/Tutorial/Overload_2,Text,,예외적으로 파란색 보석의 '신속' 스킬은 과부하를 받지 않습니다.,Les compétences possédant l'étiquette bleue <b>Rapidité</b> ne provoquent pas de Surcharge.,青い宝石の「迅速」スキルはオーバーチャージの影響を受けません。,例外的是蓝色宝石的“迅速”技能不会受到过载。,例外的是藍色寶石的「迅速」技能不會疊加過載，也不會被過載影響。
System/Tutorial/Spd_0,Text,,"앗! 갑자기 적이 행동했습니다. 놀라셨나요?
턴 종료를 하지 않아도 적이 행동할 수 있습니다.",Ah ! L'ennemi a attaqué par surprise. Ça vous a surpris ? Les ennemis peuvent agir avant la fin de votre tour.,"敵が動き始めました！
 ターンを終了しなくても敵が行動する場合があります。","哎呀！敌人突然行动了。吓到你了吗？
  即便没有结束回合，敌人也有可能行动。","哎呀！敵人突然行動了。嚇到你了嗎？
  即便沒有結束回合，敵人也有可能行動。"
System/Tutorial/Spd_1,Text,,적의 체력 왼쪽에 표기되는 행동 카운트가 0이 되면 해당 적이 행동한다는 의미입니다.,"Lorsque le compteur d'action situé à gauche atteint 0, les ennemis agissent.",敵の体力の下に表示される行動カウントが0になると敵が行動します。,当敌人体力值左侧的行动倒计时变成0时，敌人将会采取行动。,當敵人體力值左側的行動計數變成0時，敵人將會採取行動。
System/Tutorial/Spd_2,Text,,"행동 카운트는 스킬을 사용할 때마다 줄어듭니다.
예외적으로 파란색 보석의 '신속' 스킬은 영향을 받지 않습니다.","Le compteur d'action diminue chaque fois que vous lancez une compétence. 
Les compétences portant l'étiquette bleue <b>Rapidité</b> ne réduisent pas le compteur d'action des ennemis.","行動カウントはスキルを使用する度に減ります。
しかし、青い宝石の「迅速」スキルは行動カウントを減らしません。","每当使用技能时，行动倒计时会减少。
但蓝色宝石的“迅速”技能不受影响。","每當使用技能時，行動計數會減少。
但藍色寶石的「迅速」技能不受影響。"
System/Tutorial/Spd_3,Text,,턴 종료 시 행동카운트가 남아있는 모든 적이 행동합니다.,"Lorsque vous terminez votre tour, tous les ennemis ayant encore des compteurs d'action restants agissent.",ターン終了時、行動カウントが残っている敵全員が行動します。,回合结束时，倒计时未结束的所有敌人将会采取行动。,回合結束時，所有行動計數未結束的敵人將會採取行動。
System/Tutorial/StatUI2_0,Text,,"파티원 캐릭터를 선택하면 상세 정보를 볼 수 있습니다.
파티원 캐릭터를 선택해보세요.",Vous pouvez sélectionner un personnage pour afficher davantage d'informations à son sujet. Sélectionnez un personnage.,"パーティーメンバーを選択すると詳細な情報を見ることができます。
パーティーメンバーを選択してください。","选择角色即可查看角色的详细信息。
选择角色确认一下吧。","選擇角色即可查看角色的詳細資訊。
選擇角色確認一下吧。"
System/Tutorial/StatUI3,Text,,"영혼석을 사용하면 레벨업 할 수 있습니다.
레벨업 시 스킬을 배울 수 있으며, 배울 수 있는 스킬은 무작위로 제시됩니다.","Faites monter vos personnages de niveau grâce aux Pierres d'âme. 
À chaque montée de niveau, vous pourrez choisir une compétence parmi plusieurs proposées aléatoirement.","魂石を消費してレベルアップできます。
レベルアップ時、スキルをランダムに習得できます。","灵魂石可用于升级。
  升级时将随机显示可学习的技能。","靈魂石可用於升級。
  升級時將隨機顯示可學習的技能。"
System/Tutorial/StatUI4_0,Text,,"<b>스킬을 클릭하면</b> 스킬을 관리 할 수 있습니다.
스킬의 테두리 색상 (전용 : 노랑, 공용 : 파랑)에 따라 관리 여부가 달라집니다.","Vous pouvez gérer les compétences en <b>cliquant</b> dessus. 
La couleur de leur bordure indique leur type (Compétence de classe : jaune, Compétence commune : bleu).","<b>スキルをクリックすると</b>スキルを管理できます。
 スキルの枠の色(専用：黄色、共用：青色)により管理に違いがあります。","<b>点击技能</b>可以对技能进行管理。
  技能的边框颜色（专属：黄色，通用：蓝色）表示不同的管理状态。","<b>點選技能</b>可以管理技能。
  技能的邊框顏色（專屬：黃色，通用：藍色）表示不同的管理狀態。"
System/Tutorial/StatUI4_1,Text,,"만약 턴마다 가지고 있는 스킬을 시전하고 싶다면.
<b>고정 능력</b>으로도 지정할 수 있습니다.
고정 능력을 시전하면 그 턴에 다른 캐릭터의 고정 능력은 시전 할 수 없게됩니다.
고정 능력으로 지정한 스킬은 비용이 1 증가합니다.","Si vous souhaitez utiliser une compétence à chaque tour, 
vous pouvez l'enregistrer comme <b>Compétence Fixe</b>. 
Une seule Compétence Fixe peut être utilisée par tour. 
Définir une compétence comme Compétence Fixe augmente son coût de 1.","毎ターン、持っているスキルを使用したい時は
<b>固定能力</b>に指定することもできます。
固定能力を使用すると、そのターン、他キャラクターの固定能力を使用できません。
固定能力に指定されたスキルはコストが1増えます。","若想在每一回合使用某一技能，
  可将该技能指定为<b>固定能力</b>。
  释放固定能力后，在该回合内将无法释放其他角色的固定能力。
  指定为固定能力的技能费用增加1点。","若想在每一回合使用某一技能，
  可將此技能指定為<b>固定能力</b>。
  釋放固定能力後，在該回合內將無法釋放其他角色的固定能力。
  指定為固定能力的技能費用增加1點。"
System/Tutorial/StatUI4_2,Text,,"마지막으로 영혼석을 이용해 최대 마나를 늘리거나, 드로우 스킬을 획득할 수도 있습니다.
<b>최대 마나와 드로우 스킬은 전반적인 전투 능력을 상승시킵니다.</b>","Vous pouvez augmenter votre Mana maximum et obtenir des compétences de pioche en dépensant des Pierres d'âme. 
<b>Le Mana maximum et les compétences de pioche augmentent considérablement votre puissance au combat.</b>","最後に、魂石を消費し最大マナを増やしたり、ドロースキルを習得できます。
<b>最大マナとドロースキルは全般的な戦闘能力を上げてくれます。</b>","最后，灵魂石还可以用于增加最大法力值，或学习抽牌技能。
  <b>最大法力值和抽牌技能可以提升整体战斗能力。</b>","最後，靈魂石也可以用來增加最大法力值，或學習抽牌技能。
  <b>最大法力值和抽牌技能可以提升整體戰鬥能力。 </b>"
System/Tutorial/StatUI_0,Text,,"영혼석을 사용해 캐릭터를 업그레이드할 수 있습니다.
{0} 버튼 눌러 정보창을 열어보세요.","Vous pouvez améliorer vos personnages à l'aide de Pierres d'âme. 
Appuyez sur {0} pour ouvrir la fenêtre d'informations.","魂石を消費してキャラクターをアップグレードできます。
{0}ボタンで情報を確認できます。","灵魂石可用于给角色升级。
  请点击{0}键打开信息窗口。","靈魂石可用於為角色升級。
  請點選{0}鍵開啟訊息視窗。"
System/Tutorial/Story_Interplay,Text,,해당 표시가 있는 오브젝트에 마우스 클릭을 해보세요.,Essayez de cliquer sur l'objet indiqué.,オブジェクトをマウスでクリックしてください。,请使用鼠标点击有此标记的物品。,請使用滑鼠點擊有此標記的物品。
System/Tutorial/Story_InterplayMove,Text,,WASD로 카메라를 움직일 수 있습니다.,Vous pouvez déplacer la caméra avec les touches WASD.,WASDで画面を動かせます。,可使用WASD移动相机。,可使用WASD移動相機。
System/Tutorial/TempSave,Text,,이제부터 캠프파이어 맵에서 일회성 저장을 할 수 있습니다.,Vous pouvez désormais effectuer une sauvegarde unique aux feux de camp.,ここからキャンプファイヤーで中断セーブができます。,在营火地图内可一次性保存当前进度。,在營火地圖內可一次保存當前進度。
System/Tutorial/TurnEnd,Text,,"턴 종료 버튼을 눌러 턴을 넘길 수 있습니다.
다음 턴이 되면 마나를 회복하고 스킬을 드로우합니다.","Vous pouvez terminer votre tour en appuyant sur Fin du tour (Tab). 
Au tour suivant, vous récupérez tout votre Mana et piochez 2 compétences.","ターン終了ボタンでターンを終了できます。
 次のターンになるとマナを回復し、スキルをドローします。","点击结束回合后将进入下一回合。
  进入下一回合时将恢复法力值并抽取技能。","點擊結束回合後將進入下一回合。
  進入下一回合時將恢復法力值並抽取技能。"
System/Tutorial/TurnEnd1,Text,,"아직 마나와 스킬이 남아있다면, 스킬을 더 사용한 뒤 턴을 넘기세요!",Essayez de tirer le meilleur parti de votre Mana et de vos compétences restantes avant de terminer votre tour !,マナとスキルが残っていたら、スキルを使用してからターンを終了してください！,若手中还有剩余法力值和技能，请使用后再结束回合！,若手中還有剩餘法力值和技能，請使用後再結束回合！
System/Unknown/Reti,Text,,"… 루시.[t1]


또 돌이킬 수 없는 상황이 되었어?[t1]


뭐...걱정 할 필요 없어.[t1]


그냥 운명을 받아들여.[t1]


어차피 이건 끝이 아니니까.","...Lucy.[t1]

On dirait que tu te retrouves encore dans une situation sans issue.[t1]

Eh bien... inutile de t'inquiéter.[t1]

Accepte simplement ton destin.[t1]

Ce n'est pas la fin.","…ルシー。[t1]


 また、取り返しのつかない状況になった？[t1]
 まあ…心配は要らない。[t1]

   運命を受け入れなさい。[t1]


 どうせ、終わりではないからな。","…… 露西。[t1]


  又走到了无可挽回的地步，是吗？[t1]


  不过……不用担心。[t1]


  接受命运就好了。[t1]


  毕竟这不是结局。","…… 露西。 [t1]


  又走到了無可挽回的地步，是嗎？ [t1]


  不過……不用擔心。 [t1]


  接受命運就好了。 [t1]


  畢竟這不是結局。"
System/Unknown/Tuto,Text,,재밌어?,Tu t'amuses ?,楽しい？,好玩吗？,好玩嗎？
System/Use,Text,,사용,Utiliser,使用,使用,使用
UI/ActiveItemMessage/ChangeItem,Text,,교체할 아이템,Remplacer l'objet,交換するアイテム,替换道具,替換道具
UI/ActiveItemMessage/Confirm,Text,,파괴하고 착용,Détruire et équiper,破壊して装備,破坏并装备,破壞並裝備
UI/ActiveItemMessage/NowItem,Text,,착용중인 아이템,Objet équipé,装備中のアイテム,装备中的道具,裝備中的道具
UI/ActiveItemMessage/Title,Text,,착용중인 액티브 아이템은 해제될 경우 파괴됩니다.,L'objet actif actuellement équipé sera détruit si vous le remplacez.,装備中のアクティブアイテムは交換すると破壊されます。,当装备中的道具被解除时将受到破坏。,當裝備中的道具被解除時將受到破壞。
UI/Apply,Text,,적용,Appliquer,適用,应用,應用
UI/ArkParts/Title,Text,,유물 전시대,Présentoir de reliques,遺物展示館,遗物展示台,遺物展示台
UI/ArkParts_Button,Text,,확인,Confirmer,確認,确认,確認
UI/ArkParts_Main,Text,,장착하여 유물 활성화,Placez des Reliques pour activer leurs effets.,設置して遺物を活性化,激活遗物,啟動遺物
UI/ArkUpgrade/RightClickPreview,Text,,스킬 미리보기 - <sprite=3>,Aperçu de la compétence - <sprite=3>,スキル確認 - <sprite=3>,技能预览 - <sprite=3>,技能預覽 - <sprite=3>
UI/Battle/ActCount,Text,,"<b>행동 카운트</b>
스킬을 사용할 때 마다 줄어들며, 0이되면 행동한다.",<b>Compteur d'action</b> Réduit chaque fois que vous lancez une compétence. L'ennemi agit lorsqu'il atteint 0.,"<b>行動カウント</b>
スキルを使用する度減り、0になると行動する。","<b>行动倒计时</b>
  每次使用技能时减少，当倒计时变成 0 时采取行动。","<b>行動計數</b>g
每次使用技能時減少，當計數變成 0 時採取行動。"
UI/Battle/Buff/Barrier,Text,,보호막,Barrière,バリア,保护罩,保護罩
UI/Battle/Buff/CantDisable,Text,,<b>해제 불가</b>,<b>Impossible à dissiper</b>,<b>解除不可</b>,<b>无法解除</b>,<b>無法解除</b>
UI/Battle/Buff/DebuffSR,Text,,성공률,Chances de réussite,成功率,成功率,成功率
UI/Battle/Buff/FieldBuff,Text,,스테이지동안 지속,Actif jusqu'à la fin de cette zone.,現在のステージ中継続。,在当前区域内有效,在當前區域內有效
UI/Battle/Buff/RestBuffDesc,Text,,"{0}의 스킬을 버리면, 즉시 해제됩니다.",Retiré immédiatement si vous défaussez une compétence de {0}.,{0}のスキルを捨てると解除される。,丢弃{0}的技能时立即解除。,丟棄{0}的技能時立即解除。
