Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw],
Buff/B_TrialofStrength_Ally_Name,Text,,힘의 시련,Épreuve de force,力の試練,力量试炼,力量試煉,
Buff/B_TrialofStrength_Description,Text,,체력을 볼 수 없습니다.,Les PV de ce personnage sont invisibles.,体力を確認できない。,无法查看体力值。,無法查看體力值。,
Buff/B_TrialofStrength_Name,Text,,힘의 시련,Épreuve de force,力の試練,力量试炼,力量試煉,
Buff/B_TrialofStrength_TauntEnemy_Name,Text,,방어력 증가,Armure augmentée,防御力アップ,防御力增加,防禦力增加,
Buff/B_Trisha_0_T_Name,Text,,받는 치명타율 증가,Augmentation des chances de recevoir un coup critique,被クリティカル率アップ,所受暴击率增加,所受暴擊率增加,
Buff/B_Trisha_3_0_T_Name,Text,,출혈,Saignement,出血,流血,流血,
Buff/B_Trisha_3_S_Name,Text,,약점 노출,Faiblesse exposée,弱点露出,暴露弱点,暴露弱點,
Buff/B_Trisha_3_T_Name,Text,,약점 노출,Faiblesse exposée,弱点露出,暴露弱点,暴露弱點,
Buff/B_Trisha_4_T_Name,Text,,트리샤의 붕대,Bandage de Trisha,トリーシャの包帯,特丽莎的绷带,特麗莎的繃帶,
Buff/B_Trisha_5_S_Name,Text,,크리티컬 확률 증가,Chances de coup critique augmentées,クリティカル率アップ,暴击率增加,暴擊率增加,
Buff/B_Trisha_6_Name,Text,,쉐도우 스텝,Pas de l'ombre,シャドースタブ,暗影步,暗影步,
Buff/B_Trisha_6_S_Name,Text,,쉐도우 스텝,Pas de l'ombre,シャドースタブ,暗影步,暗影步,
Buff/B_Trisha_7_Description,Text,,"방해 디버프를 받을 경우, &a 피해를 입고 이 디버프를 해제합니다.","Lorsqu'il reçoit un malus de contrôle, subit &a dégâts puis retire ce malus.",妨害効果を受けると、&aダメージを受けてこの効果が解除される。,当自身被施加干扰减益时，受到&a点伤害并解除此减益。,當自身被施加干擾減益時，受到&a點傷害並解除此減益。,
Buff/B_Trisha_7_Name,Text,,꿰뚫린 심장,Perce-cœur,貫かれた心臓,刺穿的心脏,刺穿的心臟,
Buff/B_Trisha_8_S_Description,Text,,내 손의 가장 위에 있는 스킬을 낼 때마다 무작위 적에게 &a 피해를 입히고 덱에서 스킬을 뽑습니다.,Inflige &a dégâts à un ennemi aléatoire et pioche une compétence chaque fois que vous jouez la compétence située en haut de votre main.,手札の一番上のスキルを使用する度、ランダムな敵に&aダメージを与え、デッキからスキルを1個引く。,每当释放手中最上面的技能时，给随机敌人造成 &a 点伤害，并从牌库中抽取技能。,每當釋放手中最上面的技能時，給隨機敵人造成 &a 點傷害，並從牌庫中抽取技能。,
Buff/B_Trisha_8_S_Name,Text,,블링크 스탭,Coup de poignard éclair,ブリンクスタブ,影刺,影刺,
Buff/B_Trisha_P_0_Description,Text,,"다음 <b>자신이 내는</b> 스킬 비용이 0이됩니다.
그 후, 모든 아군의 그림자 분신을 해제합니다.","La prochaine compétence jouée <b>par ce personnage</b> coûte 0. Après avoir joué une compétence, retire le bonus Double équipe de tous les alliés.","次に<b>使用する</b>スキルのコストが0になる。
その後、パーティーメンバー全員の影分身状態を解除する。","<b>自身出手</b>的下一个技能费用变为0。
解除所有友军的影子分身。","<b>自身出手</b>的下一個技能費用變成0。
解除所有友軍的影子分身。",
Buff/B_Trisha_P_0_Name,Text,,그림자 분신,Double équipe,影分身,影子分身,影子分身,
Buff/B_Trisha_P_1_Description,Text,,5 중첩이되면 모든 아군에게 '그림자 분신' 버프를 부여합니다.,"À 5 cumuls, tous les alliés obtiennent le bonus « Double équipe ».",ストックが5になると味方全員が「影分身」状態となる。,叠加至5层时解除，并使所有友军获得“影子分身”增益。,疊加至5層時解除，並使所有友軍獲得「影子分身」增益。,
Buff/B_Trisha_P_1_Name,Text,,집중,Concentration,集中,凝神,凝神,
Buff/B_Trisha_P_2_Name,Text,,치명,Mortel,致命的,致命,致命,
Buff/B_Tumbledochi_T_Description,Text,,스킬의 비용이 1 증가합니다.,Toutes les compétences coûtent 1 de plus.,スキルのコストが1上がる。,技能费用增加1点。,技能費用增加1點。,
Buff/B_Tumbledochi_T_Name,Text,,비용 1 증가,Coût augmenté,コスト1アップ。,增加1点费用,增加1點費用,
Buff/B_WarlockSkull_Name,Text,,흑마법사의 해골,Crâne du mage noir,黒魔術師のドクロ,黑魔法师的骷髅,黑魔法師的骷髏,
Buff/B_WaterHose_SwimDLC_Description,Text,,"&a에게 받는 피해 &b%증가
디버프를 1중첩 부여받을 때 마다, 받는 피해량이 3% 증가합니다.","Subit &b % de dégâts supplémentaires de la part de &a. Pour chaque cumul de malus appliqué à ce personnage, subit 3 % de dégâts supplémentaires de la part du porteur.","&aから受けるダメージ&b%アップ。
デバフ効果を受ける度、受けるダメージが3％アップする。","受到来自&a的伤害增加&b%
受到其他减益效果时叠加1层，每层使上述所受伤害增加的效果增加3%。","受到來自&a的傷害增加&b%
受到其他減益效果時疊加1層，每層使上述所受傷害增加的效果增加3%。",
Buff/B_WaterHose_SwimDLC_Name,Text,,물 호스,Tuyau d'arrosage,ホース,水管,水管,
Buff/B_WaterMelon_SwimDLC_Description,Text,,"다음 손에서 내는 공격스킬에 피격된 무작위 적 하나는 이 버프에 기록된 수치 만큼 추가 피해를 입습니다.
(현재 추가 피해량 : &a）","La prochaine compétence d'attaque jouée depuis votre main inflige des dégâts supplémentaires à un ennemi aléatoire touché, égaux aux dégâts stockés dans ce bonus. (Dégâts supplémentaires : &a.)","次に手札から出す攻撃スキルにあたったランダムな敵1体はこの効果に記録された分の追加ダメージを受ける。
(現在の追加ダメージ：&a）","下一个从手中释放的攻击技能命中敌人后，将造成与此增益上记录的数值相等的额外伤害。
（当前额外伤害：&a）","下一個從手中釋放的攻擊技能命中敵人後，將造成與此增益上記錄的數值相等的額外傷害。
（當前額外傷害：&a）",
Buff/B_WaterMelon_SwimDLC_Name,Text,,수박,Pastèque,スイカ,西瓜,西瓜,
Buff/B_WaterplayTube_Description,Text,,"다음 사용하는 스킬의 피해량, 회복량 35% 증가",Les dégâts/soins de la prochaine compétence sont augmentés de 35 %.,次に使用するスキルのダメージ、回復量が35％アップ。,下一个使用的技能伤害量、恢复量增加35%,下一個使用的技能傷害量、恢復量增加35%,
Buff/B_WaterplayTube_Name,Text,,물놀이용 튜브,Bouée gonflable,水遊び用浮き輪,戏水游泳圈,戲水游泳圈,
Buff/B_Whetstone_Description,Text,,다음 내는 비용 1 이하 스킬 100% 치명타 증가.,La prochaine compétence coûtant 1 ou moins gagne 100 % de chances de coup critique.,次に使用するコスト1以下のスキルのクリティカル率100%アップ。,下一个出手的费用小于2的技能暴击率增加100%。,下一個出手的費用小於2的技能暴擊率增加100%。,
Buff/B_Whetstone_Name,Text,,숫돌,Pierre à aiguiser,砥石,磨刀石,磨刀石,
Buff/B_WitchBoss_P_Description,Text,,턴 시작마다 플레이어의 손에 '저주' 스킬을 생성합니다,Crée une compétence « Malédiction » dans votre main au début de chaque tour.,毎ターン開始時、「呪い」スキルを作成し、手札に加える。,每回合开始时在玩家手中生成“诅咒”技能。,每回合開始時在玩家手中生成「詛咒」技能。,
Buff/B_WitchBoss_P_Name,Text,,저주,Malédiction,呪い,诅咒,詛咒,
Buff/B_WitchRelic_Description,Text,,2중첩이 되면 '고통 저주'스킬을 생성합니다.,"À 2 cumuls, crée une compétence « Malédiction crucifiante ».",ストックが2になると「苦痛の呪い」スキルを作成する。,叠加2层时生成“痛苦诅咒”技能。,疊加2層時產生「痛苦詛咒」技能。,
Buff/B_WitchRelic_Name,Text,,마녀의 저주,Malédiction de la sorcière,魔女の呪い,魔女的诅咒,魔女的詛咒,
Buff/B_WitchRelic_T_Name,Text,,끔찍한 고통,Agonie,激しい苦痛,残暴的痛苦,殘暴的痛苦,
Buff/B_Witch_0_S_T_Name,Text,,명령받은 인형,Poupée asservie,命令を受けた人形,被操纵的人偶,被操縱的人偶,
Buff/B_Witch_1_S_T_Name,Text,,광폭화,Frénésie,狂暴化,狂暴,狂暴,
Buff/B_Witch_2_T_Description,Text,,이번 전투 동안 지속됩니다,Reste actif jusqu'à la fin du tour.,この戦闘の間持続する。,持续至本次战斗结束,持續至本次戰鬥結束,
Buff/B_Witch_2_T_Name,Text,,약화 저주,Malédiction d'affaiblissement,衰弱の呪い,弱化诅咒,弱化詛咒,
Buff/B_Witch_P_0_T_Name,Text,,끔찍한 고통,Douleur atroce,激しい苦痛,残暴的痛苦,殘暴的痛苦,
Buff/B_Wolf_0_T_Name,Text,,모든 저항력 감소,Toutes les résistances réduites,全てのレジストダウン,所有抵抗力减少,所有抵抗力減少,
Buff/B_branche_Name,Text,,시든 가지,Branche flétrie,しおれた枝,枯枝,枯枝,
Buff/Lian_2_S_Name,Text,,회복 게이지 보호,Protection de la jauge de soin,回復ゲージ保護,保护体力极限,保護體力極限,
Buff/P_Animatronics_Description,Text,,피해를 입을 때 마다 받는 피해량 33% 증가,Augmente les dégâts subis de 33 % chaque fois que vous subissez des dégâts.,ダメージを受ける度、受けるダメージ33%アップ。,每当受到伤害时所受伤害增加33%,每當受到傷害時所受傷害增加33%,
Buff/P_Animatronics_Name,Text,,불안정한 기계,Machine instable,不安定な機械,不稳定的机械,不穩定的機械,
Buff/P_BombClown_0_Description,Text,,"시한 폭탄 스킬을 플레이어의 손에 추가합니다.
플레이어의 손 가장 위에 있는 스킬에 1턴 후 버려짐을 부여합니다.
턴 종료시 '폭탄 받으시죠!' 스킬의 비용과 같은 비용의 스킬이 손에 있다면 갯수만큼 무작위 적에게 피해를 입힙니다.","Ajoute une compétence Bombe à retardement à votre main. 
La compétence située en haut de votre main est défaussée après 1 tour. 
À la fin du tour, si vous avez en main des compétences ayant le même coût que « Bombes larguées ! », inflige des dégâts à des ennemis aléatoires pour chacune d'elles.","「時限爆弾」を手札に加える。
手札の一番上のスキルに「1ターン後に捨てられる」を与える。
ターン終了時、「爆弾ですよ！」と同じコストのスキルが手札にある場合、その数だけランダムな敵にダメージを与える。","将定时炸弹技能加入玩家的手中。
给玩家手中最上面的技能添加 1 回合后弃牌。
回合结束时，若手中有和“接炸弹吧！”相同费用的技能，则根据其数量对随机敌人造成伤害。","將定時炸彈技能加入玩家的手中。
給玩家手中最上面的技能添加 1 回合後棄牌。
回合結束時，若手中有和「接炸彈吧！」相同費用的技能，則根據其數量對隨機敵人造成傷害。",
Buff/P_BombClown_0_Name,Text,,폭탄 광대,Clown bombardier,爆弾クラウン,炸弹小丑,炸彈小丑,
Buff/P_DorchiX_Sword_Description,Text,,"숲의 검이 있는동안 도르취 경은 무적 상태가 됩니다.
<b>'도발 무시'</b> 혹은 <b>'전체 공격'</b> 스킬에 두배의 피해를 입으며, <b>방해 디버프</b>를 받으면 즉시 <b>파괴</b>됩니다.","Sir Dorchi devient Invincible tant que l'Épée de la forêt est active. 
Les compétences entrantes avec <b>« Ignore la Provocation »</b> ou <b>« Attaque tous »</b> infligent deux fois plus de dégâts. 
L'Épée se <b>brisera</b> après avoir reçu un <b>malus de contrôle</b>.","森の剣がある限り、サー・ホルグはダメージを受けない。
ただし、<b>「挑発無視」</b>または<b>「全体攻撃」</b>系のスキルで2倍のダメージを受け、<b>妨害効果</b>を受けると<b>破壊</b>される。","森林之剑在场时，多尔希爵士处于无敌状态。
被<b>“无视嘲讽”</b>或<b>“全体攻击”</b>技能攻击时承受双倍的伤害，受到<b>干扰减益</b>时立即被<b>破坏</b>。","森林之劍在場時，多爾希爵士處於無敵狀態。
被<b>「無視嘲諷」</b>或<b>「全體攻擊」</b>技能攻擊時承受雙倍的傷害，受到<b>干擾減益</b>時立即被<b>破壞</b>。",
Buff/P_DorchiX_Sword_Name,Text,,숲의 검,Épée de la forêt,森の剣,森林之剑,森林之劍,
Buff/P_FanaticBoss_Name,Text,,P_FanaticBoss,P_FanaticBoss,P_FanaticBoss,P_FanaticBoss,P_FanaticBoss,
Buff/P_FanaticBoss_Summon_Description,Text,,"처치되었을 때, '성자의 횃불'을 착용한 아군이 있을 경우, '성자의 보호' 스킬을 생성합니다.","Lorsqu'il est vaincu, si un allié est équipé de « Torche du Saint », crée une compétence « Protection du Saint ».",倒されたとき、「聖者の松明」を装備した味方がある場合、「聖者の保護」スキルを作成する。,被击杀后，若存在持有“神圣火把“的友军，则生成技能”神圣庇护”。,被擊殺後，若存在持有「神聖火把「的友軍，則生成技能」神聖庇護」。,
Buff/P_FanaticBoss_Summon_Name,Text,,이단심문관의 방패,Bouclier de l'Inquisiteur,異端審問官の盾,异端审判官的盾牌,異端審判者的盾牌,
Buff/P_Guard_LifeShare_Description,Text,,이 캐릭터는 다른 캐릭터와 체력을 공유하고 있습니다.,Ce personnage partage ses PV avec un autre ennemi.,このキャラクターは他キャラクターと体力を共有している。,该角色与其他角色共享体力值。,該角色與其他角色共享體力值。,
Buff/P_Guard_LifeShare_Name,Text,,체력 공유,Vie partagée,体力共有,共享体力值,共享體力值,
Buff/P_Leryn_0_Description,Text,,"이 버프가 제거되거나 전투 종료시, 남은 보호막 만큼 체력을 회복합니다.","Si ce bonus est retiré ou si le combat se termine, restaure des PV équivalents à la Barrière restante.",この効果が解除されるか、戦闘が終了するとバリアの数値分体力を回復する。,当该增益消失或战斗结束时，恢复与剩余保护罩相等的体力值。,當此增益消失或戰鬥結束時，恢復與剩餘保護罩相等的體力值。,
Buff/P_Leryn_0_Name,Text,,힐링 서클,Cercle de soin,ヒーリングサークル,治愈光圈,治癒光圈,
Buff/P_ProgramMaster2_0_Description,Text,,손에서 스킬을 10회 내면 강제로 턴을 종료합니다.,Met automatiquement fin au tour lorsque vous jouez 10 compétences depuis votre main.,手札からスキルを10回使用するとターンを強制的に終了させる。,从手中释放10次时强制结束回合。,從手中釋放10次時強制結束回合。,
Buff/P_ProgramMaster2_0_Name,Text,,마스터 권한,Autorisations maître,マスター権限,管理员权限,管理員權限,
Buff/P_ProgramMaster2_LucyAttack_Description,Text,,"마나를 전부 사용할 경우, '필사적인 저항'을 손에 가져옵니다.","Si vous consommez tout votre Mana, ajoute « Résistance désespérée » à votre main.",マナを全て消費した場合「必死の抵抗」を手札に加える。,用完所有法力值时，将‘负隅顽抗’拿到手中。,用完所有法力值時，將‘負隅頑抗’拿到手中。,
Buff/P_ProgramMaster2_LucyAttack_Name,Text,,필사적인 저항,Résistance désespérée,必死の抵抗,负隅顽抗,負隅頑抗,
Buff/P_ProgramMaster_0_P_Description,Text,,"고통 피해를 2배로 받으며, 행동불능 디버프를 받을 경우 즉시 파괴됩니다.",Subit le double des dégâts de Douleur. Détruit lorsqu'il est étourdi.,苦痛効果のダメージを2倍に受け、行動不能効果を受けると破壊される。,受到2倍的痛苦伤害，获得无法行动减益时立即死亡。,受到2倍的痛苦傷害，獲得無法行動減益時立即死亡。,
Buff/P_ProgramMaster_0_P_Name,Text,,무의 형상,Forme du Néant,無の形象,无形之形,無形之形,
Buff/P_ProgramMaster_LucyAttack2_Name,Text,,체간,Posture,体幹,躯干,軀幹,
Buff/P_ProgramMaster_LucyAttack_Description,Text,,"현재 체간 &a
피해량 만큼 체간이 감소합니다.
체간이 0이 되면, 즉시 125의 피해를 추가로 입고 '마스터의 조각'을 손에 추가합니다.
체간이 0이 되거나 턴이 종료되면 체간을 모두 회복합니다.","Posture actuelle : &a. Perd de la Posture en fonction des dégâts reçus. 
À 0 Posture, subit 125 dégâts supplémentaires et ajoute un « Fragment du Maître » à votre main. 
Si la Posture atteint 0 ou si le tour se termine, récupère toute sa Posture.","現在体幹：&a
受けるダメージ分体幹がダウンする。
体幹が0になると125の追加ダメージを受けて「マスターの欠片」を手札に追加する。
体幹が0になるかターンが終了すると体幹を全て回復する。","当前躯干 &a
躯干根据伤害等量减少。
躯干变成0时，立即受到125点额外伤害，并将‘管理员的碎片’置入手中。
躯干变成0或回合结束时恢复所有躯干。","當前軀幹 &a
軀幹根據傷害等量減少。
軀幹變成0時，立即受到125點額外傷害，並將「管理員的碎片」置入手中。
軀幹變成0或回合結束時恢復所有軀幹。",
Buff/P_ProgramMaster_LucyAttack_Name,Text,,체간,Posture,体幹,躯干,軀幹,
Buff/P_ProgramMaster_P2_Description,Text,,"턴이 종료될 때 마다 '되찾는 힘'이 1중첩 증가합니다.
'되찾는 힘' 1중첩당 '파괴'의 피해량이 5 증가합니다.
10중첩이 되면 치명타 확률이 50% 증가합니다.","À la fin du tour, gagne 1 cumul de « Concentration de puissance ». 
Chaque cumul augmente les dégâts de « Éradication » de 5. À 10 cumuls, gagne +50 % de chances de coup critique.","ターンが終了する度「取り戻す力」のストックが1増える。
「取り戻す力」のストック1につき「破壊」のダメージが5上がる。
ストックが10になるとクリティカル率が50%アップする。","每当回合结束时叠加1层“找回力量”。
每层“找回力量”提升5点“破坏”的伤害。
叠加至10层时暴击率增加50%。","每當回合結束時疊加1層「找回力量」。
每層「找回力量」提升5點「破壞」的傷害。
疊加至10層時暴擊率增加50%。",
Buff/P_ProgramMaster_P2_Name,Text,,되찾는 힘,Concentration de puissance,取り戻す力,找回力量,找迴力量,
Buff/P_ProgramMaster_Shield_Description,Text,,"이번 턴에 900의 피해를 받을 경우, 더 이상 체간을 감소시킬 수 없습니다.
(이번 턴에 받은 피해 &a)","Après avoir subi 900 dégâts ce tour-ci, la Posture ne peut plus être réduite. 
(&a dégâts subis ce tour.)","このターンの間に900以上のダメージを受けた場合、それ以上体幹を減らせない。
(このターンに受けたダメージ&a)","本回合受到900点伤害时，躯干不会再减少。
（本回合所受伤害：&a点）","本回合受到900點傷害時，軀幹不會再減少。
（本回合所受傷害：&a點）",
Buff/P_ProgramMaster_Shield_Name,Text,,프로그램 마스터,Maître du programme,プログラムマスター,程序管理员,程式管理員,
Buff/P_Queen_0_Name,Text,,방해 불가,Obstruction,妨害不可,无法干扰,無法干擾,
Buff/P_S4_Golem2_0_Description,Text,,"손의 가장 아래에 있는 <b>스킬의 주인</b>을 우선으로 공격합니다.
(루시 스킬은 무시)","Les attaques ciblent en priorité le <b>personnage</b> correspondant à la compétence située tout en bas de votre main. 
(Ignore les compétences de Lucy.)","手札の一番下の<b>スキルの持ち主</b>を優先して攻撃する。
(ルシーのスキルを除く)","优先攻击手中最下面一个<b>技能的拥有者</b>。
 (无视露西的技能)","優先攻擊手中最下面一個<b>技能的擁有者</b>。
 (無視露西的技能)",
Buff/P_S4_Golem2_0_Name,Text,,타겟 설정,Marque du Golem,ターゲット設定,设定目标,設定目標,
Buff/P_S4_Golem_0_Description,Text,,"손의 가장 위에 있는 <b>스킬의 주인</b>을 우선으로 공격합니다.
(루시 스킬은 무시)","Les attaques ciblent en priorité le <b>personnage</b> correspondant à la compétence située tout en haut de votre main. 
(Ignore les compétences de Lucy.)","手札の一番上の<b>スキルの持ち主</b>を優先して攻撃する。
(ルシーのスキルを除く)","优先攻击手中最上面一个<b>技能的拥有者</b>。
 (无视露西的技能)","優先攻擊手中最上面一個<b>技能的擁有者</b>。
 (無視露西的技能)",
Buff/P_S4_Golem_0_Name,Text,,타겟 설정,Marque du Golem,ターゲット設定,设定目标,設定目標,
Buff/P_S4_MagicDochi_Description,Text,,플레이어가 스킬 및 고정능력을 사용 할 때 마다 6의 피해를 무작위 파티원에게 입힙니다.,"Chaque fois que vous lancez une compétence, inflige 6 dégâts à un membre du groupe aléatoire.",手札からスキル及び固定能力を使用する度、6ダメージをランダムなパーティーメンバーに与える。,每当玩家使用技能或固定能力时，对随机友军造成6点伤害。,每當玩家使用技能或固定能力時，對隨機友軍造成6點傷害。,
Buff/P_S4_MagicDochi_Name,Text,,불도치,Hérisson de flammes,ファイヤーホーグ,火刺猬,火刺蝟,
Buff/P_Sizz_0_Description,Text,,"아군 타겟 스킬 시전 시 대상에게 이동하고, 공격 기회가 생깁니다.
턴이 시작해도 공격 기회가 생깁니다.
공격 기회는 최대 2만큼 중첩됩니다.","Si vous lancez une compétence ciblant un allié, Eve se déplace sur cette cible et gagne 1 attaque supplémentaire. 
Eve gagne également 1 attaque supplémentaire au début de chaque tour. Maximum : 2 attaques en réserve.","味方をターゲットにするスキルを使用する時、ターゲットに移動し、攻撃権を獲得する。
ターンが始まっても攻撃権を獲得する。
攻撃可能回数は最大2回までストックできる。","释放指向友军的技能时，移动至该目标，并获得攻击机会。
回合开始时也有攻击机会。
攻击机会最多叠加2层。","釋放指向友軍的技能時，移動至該目標，並獲得攻擊機會。
回合開始時也有攻擊機會。
攻擊機會最多可疊加 2 層。",
Buff/P_Sizz_0_Name,Text,,인형 이브,Poupée Eve,人形「イブ」,人偶伊芙,人偶伊芙,
Buff/P_TheDealer_Name,Text,,갬블러,Joueur,ギャンブラー,赌徒,賭徒,
Buff/P_TrialofBrave_Enemy_summon_Description,Text,,처치되면 이번 턴에 손에서 낸 회복 스킬을 하나 선택하여 생성하고 비용 1을 감소합니다.,"Lorsqu'il est vaincu, crée une compétence de soin que vous avez jouée depuis votre main ce tour-ci et réduit son coût de 1.",倒されるとこのターンの間に手札から使用した回復スキルをコストを1減らして作成する。,被击杀时选择一个本回合中出手的治疗技能生成，该技能费用减少1点。,被擊殺時選擇一個本回合中出手的治療技能生成，技能費用減少1點。,
Buff/P_TrialofBrave_Enemy_summon_Name,Text,,에너지 파편,Fragment d'énergie,エネルギー破片,能量碎片,能量碎片,
Buff/TheLight_P_0_1_Description,Text,,"신성한 낙인을 받고있는 아군이 스킬을 사용하면 따라서 시전합니다.
*신성 전이 스킬은 제외
효과가 발동되면 해제됩니다.","Si un allié portant Marque sacrée lance une compétence, copiez-la et relancez-la. *Sauf « Évangéliser la Sainteté ». 
Le bonus est retiré après son activation.","聖なる烙印状態の味方が使用するスキルを模倣し、再使用する。
*神聖転移スキルは除く
効果が発動すると解除される。","当标有神圣印记的友军使用技能时跟着释放技能。
*神圣转移技能除外
效果触发后解除。","當標有神聖印記的友軍使用技能時跟著釋放技能。
*神聖轉移技能除外
效果觸發後解除。",
Buff/TheLight_P_0_1_Name,Text,,신성한 잔해,Débris sacrés,神聖な残骸,神圣残骸,神聖殘骸,
Buff/TheLight_P_0_Description,Text,,"턴 시작시 신성 전이 스킬을 생성합니다.
체력을 회복할 수 없습니다.
전투불능시, 다른 아군에게 신성한 낙인을 부여합니다.
타오르는 방패, 십자가에게 받는 <color=purple>고통 피해</color>를 반감합니다.","Crée une compétence « Évangéliser la Sainteté » au début du tour. Ne peut pas récupérer de PV. 
S'il est mis hors combat, applique Marque sacrée à un autre allié. 
Subit moins de <color=purple>dégâts de Douleur</color> provenant de Bouclier ardent et Croix ardente.","ターン開始時、「神聖転移」を手札に加える。
体力を回復できない。
戦闘不能時、味方に聖なる烙印を与える。
燃え上がる盾、燃え上がる十字架からの<color=purple>苦痛ダメージ</color>を4分の1にする。","回合开始时生成神圣转移技能。
无法恢复体力值。
无法战斗时，给随机一名存活友友军添加神圣印记。
燃烧的盾牌及十字架的<color=purple>痛苦伤害</color>减半。","回合開始時產生神聖轉移技能。
無法恢復體力值。
無法戰鬥時，給隨機一名存活友軍添加神聖印記。
燃燒的盾牌及十字架的<color=purple>痛苦傷害</color>減半。",
Buff/TheLight_P_0_Name,Text,,신성한 낙인,Marque sacrée,聖なる烙印,神圣印记,神聖印記,
Buff/TheLight_P_1_Description,Text,,턴 시작마다 불타는 십자가를 소환합니다.,Crée une Croix ardente au début de chaque tour.,毎ターン、燃える十字架を召喚する。,每回合开始时召唤燃烧的十字架。,每回合開始時召喚燃燒的十字架。,
Buff/TheLight_P_1_Name,Text,,신성한 카라엘라,Karaela sacrée,ホーリーカラエラー,神圣卡洛尔,神聖卡洛爾,
Character/AllyDoll_PassiveName,Text,,AllyDoll,Poupée alliée,AllyDoll,AllyDoll,AllyDoll,
Character/AllyDoll_name,Text,,보호의 말뚝,Pieu de protection,保護の杭,守护木桩,守護木樁,
Character/Azar_CampSelectWord,Text,,난 언제나 준비되어 있어. 말만 해.,Je suis toujours prêt. Donne juste l'ordre.,いつでも大丈夫だ。合図してくれるだけでいい。,需要我就说一声，我随时都可以出发。,需要我就說一聲，我隨時都可以出發。,
Character/Azar_PassiveDes,Text,,"턴이 시작할 때마다 내 손에 가장 위에 있는 스킬에 <b>환영검 버프</b>를 부여합니다.

<b>환영검 버프</b>가 부여된 스킬을 내거나 버리면, 비용 0 공격 스킬인 환영검을 생성합니다.","Au début de chaque tour, la compétence située tout en haut de votre main reçoit le bonus <b>Épée illusoire</b>. 

Si vous jouez ou défaussez une compétence bénéficiant du bonus <b>Épée illusoire</b>, créez dans votre main une compétence d'attaque Épée illusoire coûtant 0.","ターン開始時、手札の一番上のスキルに<b>幻影の刃</b>効果を与える。

<b>幻影の刃</b>効果を与えられたスキルを使用するか捨てると、コスト0の攻撃スキル「幻影の刃」を作成する。","每回合开始时，给手中最上面的技能添加<b>幻影剑增益</b>。（若目标技能已附带<b>幻影剑增益</b>则向下顺延。）

当释放或丢弃附带<b>幻影剑增益</b>的技能时，在手中生成一个费用为0的攻击技能幻影剑。","每回合開始時，為手中最上方的技能加上<b>幻影劍增益</b>。 （若目標技能已附帶<b>幻影劍增益</b>則向下順延。）

當釋放或丟棄附帶<b>幻影劍增益</b>的技能時，在手中生成一個費用為0的攻擊技能幻影劍。",
Character/Azar_PassiveName,Text,,환영검,Épées illusoires,幻影の刃,幻影剑,幻影劍,
Character/Azar_SelectInfo,Text,,"아자르는 어떠한 상황이라도 당황하지 않고 능숙하게 대처하여 조사단의 많은 기대를 받고 있으며 따르는 자도 많습니다.

환영검 스킬로 인해 적을 여러번 공격할 수 있으며, 환영검을 활용하여 다양한 스킬 연계가 가능한 공격 역할군입니다.","Azar garde toujours son sang-froid et réagit avec habileté à toutes les situations, ce qui fait de lui un excellent chef. 

L'équipe d'investigation n'attend rien de moins de sa part. C'est un attaquant capable d'enchaîner ses compétences de multiples façons en attaquant sans relâche ses ennemis avec ses Épées illusoires.","アザールはどんな時でも慌てることなく適切に対処するため、調査団内でも多くの信頼を受けています。

 幻影の刃で攻撃を繰り返し、様々なスキルの連携で敵を翻弄します。","阿扎尔拥有冷静的头脑和稳健的作战能力，能够熟练应对战场中的各种局势变化，也因此备受调查团的器重，拥有众多追随者。

通过幻影剑多次攻击敌人，灵活运用幻影剑可连续触发多种技能，是团队中的进攻型角色。","阿札爾擁有冷靜的頭腦和穩健的作戰能力，能夠熟練應對戰場中的各種局勢變化，也因此備受調查團的器重，擁有眾多追隨者。

透過幻影劍多次攻擊敵人，靈活運用幻影劍可連續觸發多種技能，是團隊中的進攻角色。",
Character/Azar_SkinDesc,Text,,"아자르가 평소에 즐겨 입는 스타일이다. 셔츠도 후드도 꽤 낡았지만, 격렬한 전투의 흔적이 있어서 오히려 좋은 거라고 한다.","Voici la tenue habituelle d'Azar. Sa chemise et sa capuche sont très usées, mais selon lui, c'est une bonne chose, car elles témoignent des combats qu'il a traversés.",アザールが普段よく着るスタイルの服。 シャツもフードもかなり古いものだが、激しい戦闘の跡があってむしろいいらしい。,是阿扎尔平常喜欢的穿衣风格。衬衫和兜帽都已经很破旧，但他喜欢的正是这衣服上留下的激烈的战斗痕迹。,是阿札爾平常喜歡的穿搭風格。襯衫和連帽外套都已經很破舊，但他喜歡的正是這衣服上留下的激烈的戰鬥痕跡。,
Character/Azar_Text_Battle_AllyND_0,Text,,조금만 참아!,Tiens bon !,耐えろ！,再坚持一下！,再堅持一下！,
Character/Azar_Text_Battle_AllyND_1,Text,,정신차려!,Reprends-toi !,しっかりしろ！,打起精神来！,打起精神來！,
Character/Azar_Text_Battle_Cri_0,Text,,하하!,Haha !,ハハ！,哈哈！,哈哈！,
Character/Azar_Text_Battle_Cri_1,Text,,이거지!,Bien joué !,やっぱこれだ！,就是这样！,就是這樣！,
